,Mean Acc,Std Acc
spikes_mel_spect,0.4349206349206349,0.019375485104339223
mfcc20,0.44523809523809527,0.015753518445459688
min_spec_cent,0.44603174603174606,0.012944052722460398
mean_spec_cont,0.43968253968253973,0.006349206349206347
mfcc16,0.45396825396825397,0.011931187601883253
max_spec_cont,0.4492063492063492,0.008837721210841299
mfcc19,0.44603174603174606,0.007360014678964841
mfcc8,0.4436507936507937,0.009187172145071594
min_mel_spect,0.44603174603174606,0.009255479198167132
std_chroma_stft,0.4428571428571429,0.011391031820958195
mfcc11,0.44761904761904764,0.01161011018914904
mfcc12,0.4492063492063492,0.00583211843519804
mean_chroma_stft,0.44603174603174606,0.010225475179940565
mfcc17,0.4404761904761905,0.0050194883494736175
mfcc13,0.4420634920634921,0.005382801573908936
mfcc9,0.4428571428571429,0.007360014678964856
mfcc14,0.4531746031746032,0.012648712262308907
min_spec_cont,0.4396825396825396,0.009187172145071608
var_zcr,0.42857142857142855,0.014847846772912454
mfcc10,0.4238095238095238,0.01076560314781788
mfcc18,0.4238095238095238,0.016533862425396544
min_zcr,0.4222222222222222,0.015991620380642776
mfcc6,0.41825396825396827,0.014762758125189105
var_spec_bw,0.41349206349206347,0.01709576129249049
std_spec_cont,0.39841269841269844,0.012944052722460386
mfcc5,0.39682539682539686,0.012036310228653254
var_mel_spect,0.38412698412698415,0.01264871226230892
mfcc4,0.35238095238095235,0.0058321184351980485
max_spec_bw,0.35476190476190483,0.0126984126984127
min_spec_bw,0.35,0.014932450573195845
mfcc2,0.33650793650793653,0.014504497525791325
mfcc7,0.2968253968253968,0.012648712262308914
spikes_chroma_stft,0.2698412698412699,0.017568209223157664
mfcc3,0.20714285714285713,0.016723259925163072
mean_zcr,0.18492063492063493,0.015183433706118242
