File,Subject,Gender,Emotion,Emotion_Id,spikes_mel_spect,mean_mel_spect,min_mel_spect,max_mel_spect,var_mel_spect,std_mel_spect,sum_mel_spect,spikes_chroma_stft,mean_chroma_stft,var_chroma_stft,std_chroma_stft,sum_chroma_stft,spikes_rms,mean_rms,max_rms,var_rms,std_rms,sum_rms,spikes_spec_cent,mean_spec_cent,min_spec_cent,max_spec_cent,var_spec_cent,std_spec_cent,sum_spec_cent,spikes_spec_bw,mean_spec_bw,min_spec_bw,max_spec_bw,var_spec_bw,std_spec_bw,sum_spec_bw,spikes_spec_rolloff,mean_spec_rolloff,min_spec_rolloff,max_spec_rolloff,var_spec_rolloff,std_spec_rolloff,sum_spec_rolloff,spikes_spec_cont,mean_spec_cont,min_spec_cont,max_spec_cont,var_spec_cont,std_spec_cont,sum_spec_cont,spikes_zcr,mean_zcr,min_zcr,max_zcr,var_zcr,std_zcr,sum_zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
eNTERFACE05_Dataset\subject_10_m\anger\sentence,1\s10_an_1,10,m,anger,0,1400,5.443504810333252,8.61198334867197e-10,1537.58056640625,1622.009521484375,40.27417755126953,89872.265625,635,0.38525012135505676,0.08796533197164536,0.2965894937515259,600.9901733398438,66,0.12745322287082672,0.3018077313899994,0.008100402541458607,0.09000223875045776,16.568918228149414,47,1867.95927691212,785.4662707298758,4299.025942667947,435324.8063936053,659.791487057544,242834.7059985756,59,1829.832103732778,1179.7164919030708,2723.80102712995,163808.12630107807,404.73216613098356,237878.17348526116,59,3802.018291766827,904.39453125,6653.759765625,1840586.3192025372,1356.6820995364158,494262.3779296875,301,22.069650370746825,6.407577176052162,48.87239287049051,71.3879963669113,8.4491417532736,20083.38183737961,42,0.09696138822115384,0.04150390625,0.24853515625,0.0015357636135710764,0.039188820007383184,12.60498046875,-170.1300506591797,117.75933074951172,-31.912229537963867,23.909975051879883,-38.14528274536133,-1.260267972946167,-26.224769592285156,-8.134256362915039,-26.724702835083008,-14.25648021697998,-13.429725646972656,-3.668670415878296,-0.19708052277565002,-7.919945240020752,-4.036015033721924,-5.079646110534668,-8.434864044189453,-0.7505732774734497,-11.464556694030762,0.2828243672847748
eNTERFACE05_Dataset\subject_10_m\anger\sentence,2\s10_an_2,10,m,anger,0,1367,4.991379737854004,6.584141565291191e-10,1087.6148681640625,981.7512817382812,31.332910537719727,67193.953125,482,0.33753156661987305,0.09146513789892197,0.30243203043937683,429.34014892578125,58,0.14008277654647827,0.2525983154773712,0.004033518955111504,0.0635099932551384,14.848774909973145,35,1956.3632515817524,1153.0238627677031,4527.399085089566,628722.672599599,792.9203444228172,207374.50466766575,31,1675.4097601669969,1192.187717357029,2848.199365768346,149404.62573084334,386.5289455278134,177593.43457770167,40,3698.6323518573113,2174.853515625,6998.291015625,1581685.5170927085,1257.6507929837712,392055.029296875,272,23.063345030398466,8.099012169057952,44.67634833214873,60.070603367597,7.750522780277277,17113.002012555662,33,0.11054503242924528,0.046875,0.3544921875,0.0038904679462382604,0.06237361578615,11.7177734375,-138.251220703125,116.23873901367188,-58.78555679321289,36.67156219482422,-23.876649856567383,-6.334355354309082,-26.141117095947266,-19.69747543334961,-22.696491241455078,-10.688088417053223,-16.376480102539062,2.0714662075042725,-6.858282089233398,-7.514861106872559,-1.4889616966247559,-4.265873432159424,-7.3239312171936035,-3.125034809112549,-12.912466049194336,1.7334314584732056
eNTERFACE05_Dataset\subject_10_m\anger\sentence,3\s10_an_3,10,m,anger,0,1417,4.495620250701904,3.1064245620271436e-10,1049.5274658203125,611.0244140625,24.718908309936523,55381.546875,469,0.3878137767314911,0.0873301774263382,0.2955167889595032,451.41522216796875,55,0.12744440138339996,0.2624886929988861,0.0054953922517597675,0.07413091510534286,12.362107276916504,42,1874.7360046453314,1202.276676992076,4118.026033903969,312511.95130323956,559.0276838433313,181849.39245059714,32,1694.930115884022,1204.9723929497188,2635.6243807525634,133252.1265012979,365.03715769945654,164408.22124075014,41,3663.197436775129,2088.720703125,6352.294921875,1292695.4233266301,1136.9676439224777,355330.1513671875,239,22.134334593809857,8.587313275297818,48.94195778059457,70.59249481905312,8.401933992781252,15029.213189196893,40,0.11149927512886598,0.04736328125,0.30126953125,0.0026006946427901425,0.050997006213994,10.8154296875,-160.6025848388672,121.14875793457031,-54.280513763427734,25.393037796020508,-32.02799987792969,-5.142364025115967,-20.530668258666992,-10.432944297790527,-18.090499877929688,-9.140348434448242,-17.350191116333008,2.1812803745269775,-4.259322166442871,-10.213655471801758,-3.6253931522369385,-8.079218864440918,-5.482800006866455,-6.0783538818359375,-7.506072521209717,2.834672451019287
eNTERFACE05_Dataset\subject_10_m\anger\sentence,4\s10_an_4,10,m,anger,0,1431,5.306931972503662,4.721205648650084e-10,1564.230712890625,1256.3414306640625,35.444908142089844,80203.6640625,557,0.36001595854759216,0.09910884499549866,0.31481558084487915,514.102783203125,77,0.1355045735836029,0.28523901104927063,0.006010367535054684,0.07752656191587448,16.125043869018555,41,1865.841660933593,1015.2712847123232,4516.059245695318,418229.6796577795,646.7067957411454,222035.15765109757,46,1666.85601336099,1126.2985928073888,2421.1058242134654,120375.59963308841,346.9518693321718,198355.8655899578,47,3554.4261259191176,1464.2578125,6449.1943359375,1418165.4715373027,1190.8675289625219,422976.708984375,293,22.709614122247757,7.44623872499469,49.37097300892927,77.69798078620678,8.814645811727592,18917.108563832382,42,0.10855435924369748,0.04248046875,0.3779296875,0.003196595828164963,0.056538445576129547,12.91796875,-167.8164520263672,117.55317687988281,-54.58057403564453,22.917434692382812,-32.91883850097656,-6.100682258605957,-20.703655242919922,-11.657402038574219,-27.257808685302734,-12.037616729736328,-10.860198020935059,0.24131827056407928,-4.597937107086182,-16.679332733154297,1.5631002187728882,-8.232271194458008,-9.970373153686523,-1.8882964849472046,-13.405421257019043,7.417112827301025
eNTERFACE05_Dataset\subject_10_m\anger\sentence,5\s10_an_5,10,m,anger,0,1119,4.355124473571777,4.1863651434326243e-10,1607.232421875,1391.7366943359375,37.30598831176758,59181.7890625,527,0.3792550563812256,0.0975397378206253,0.3123135268688202,486.9635009765625,57,0.11696656048297882,0.28651973605155945,0.005996885243803263,0.0774395614862442,12.515421867370605,37,1743.3276184066624,937.0454034478032,3350.633595555245,243771.0537570129,493.73176296144135,186536.05516951287,36,1704.573679962444,1152.5946867648254,2484.64395475512,168706.7148474724,410.7392297400778,182389.38375598151,29,3436.558347327687,1259.6923828125,6093.896484375,1578642.5513765765,1256.4404289008598,367711.7431640625,285,23.038813214678882,7.839861757481159,52.84397483924486,68.45008378082653,8.273456579980735,17256.071097794484,31,0.09782053154205607,0.044921875,0.197265625,0.002068363367620957,0.045479263050548176,10.466796875,-201.63343811035156,119.40402221679688,-40.71031188964844,28.91277313232422,-18.00984764099121,-8.9030179977417,-17.04390525817871,-6.6330952644348145,-28.409605026245117,-16.086904525756836,-9.950701713562012,0.8219795823097229,-5.5469465255737305,-11.200116157531738,0.5525155663490295,-2.7042369842529297,-9.782827377319336,-4.410477161407471,-7.530956745147705,2.9235329627990723
eNTERFACE05_Dataset\subject_10_m\disgust\sentence,1\s10_di_1,10,m,disgust,1,1998,3.0784554481506348,4.5700776496460094e-10,522.6769409179688,373.58612060546875,19.32837677001953,66072.890625,793,0.37314122915267944,0.09208685159683228,0.30345815420150757,756.7304077148438,71,0.0985012874007225,0.24134889245033264,0.004728442057967186,0.06876366585493088,16.646717071533203,50,1986.430185525807,1154.5579506089894,4918.959480548695,664057.6106398369,814.8973006703586,335706.70135386137,68,1755.6035477208031,1246.0235624100294,2819.3598142891165,139673.06724343318,373.7286010508604,296696.9995648157,66,3866.6115303716715,1894.921875,8214.9169921875,1576002.618867365,1255.3894291682423,653457.3486328125,426,22.935221473469657,8.139034253821047,48.89088330792461,68.89717527142142,8.300432234011758,27132.367003114603,43,0.11827385355029586,0.05908203125,0.453125,0.006052546889995403,0.07779811623680488,19.98828125,-186.62586975097656,115.43000030517578,-42.40034866333008,32.68207550048828,-35.11943435668945,0.7255086302757263,-16.046825408935547,-15.360233306884766,-24.730043411254883,-0.36455169320106506,-9.552011489868164,-0.7433869242668152,-3.324389934539795,-10.341468811035156,-7.69514274597168,-4.455469608306885,-5.611170768737793,-6.403526782989502,-10.114631652832031,3.467768669128418
eNTERFACE05_Dataset\subject_10_m\disgust\sentence,2\s10_di_2,10,m,disgust,1,1695,2.6104869842529297,7.275962055075524e-10,732.8414916992188,285.3468017578125,16.8922119140625,43430.671875,627,0.3898827135562897,0.0861918032169342,0.293584406375885,612.8956298828125,71,0.10145816206932068,0.21508915722370148,0.003148091724142432,0.05610785633325577,13.291019439697266,50,2618.3972975393676,1229.9739011292163,5109.495446839102,877403.4164602732,936.6981458614473,343010.04597765714,61,1993.6467345346646,1243.733929755824,3066.1460520642418,212113.33631269418,460.5576362548928,261167.72222404106,46,4713.223662631202,2024.12109375,8171.8505859375,1886112.47848981,1373.358102786673,617432.2998046875,344,22.680519174190987,6.482077966748228,49.94901582848293,73.17207524802859,8.554067760313137,20798.036082733135,55,0.17983286617366412,0.05859375,0.48974609375,0.009095969799480323,0.09537279381186399,23.55810546875,-165.02919006347656,84.03993225097656,-31.54327392578125,47.73536682128906,-35.290916442871094,-10.358842849731445,-20.4046573638916,-3.600423574447632,-23.270586013793945,-5.259500980377197,-17.589941024780273,0.603760838508606,-8.63430118560791,-4.520031452178955,-9.610037803649902,-3.3675291538238525,-7.323613166809082,0.9838531613349915,-8.443148612976074,2.165574312210083
eNTERFACE05_Dataset\subject_10_m\disgust\sentence,3\s10_di_3,10,m,disgust,1,1222,1.8845800161361694,5.678320036395235e-10,1293.2237548828125,343.9613037109375,18.546194076538086,23934.166015625,496,0.40908345580101013,0.08857051283121109,0.29760798811912537,490.900146484375,47,0.07623285800218582,0.21407802402973175,0.003772953525185585,0.061424370855093,7.62328577041626,40,2275.501478464492,1250.4077813631975,4460.221649609039,516252.80636924045,718.5073460788278,227550.14784644917,48,1712.7072506518036,1304.6033942333927,2411.2172838428496,101108.42045600695,317.97550291808165,171270.72506518036,41,4165.16748046875,2454.78515625,6287.6953125,1083255.8185293674,1040.7957621595926,416516.748046875,233,20.51294441646657,5.735095106332935,45.23324497230868,71.03799066197078,8.428403802735769,14359.0610915266,47,0.1593408203125,0.03759765625,0.37255859375,0.005621872210502624,0.07497914517052474,15.93408203125,-201.89353942871094,97.13629150390625,-60.20539093017578,29.9556941986084,-27.564302444458008,-1.7411956787109375,-14.43460464477539,-13.013648986816406,-9.301558494567871,3.43583607673645,-7.769608020782471,-6.680139541625977,-2.0130577087402344,-1.1330336332321167,-6.336826324462891,-5.158707141876221,-6.3944010734558105,-4.828431606292725,-11.173506736755371,-2.73463773727417
eNTERFACE05_Dataset\subject_10_m\disgust\sentence,4\s10_di_4,10,m,disgust,1,1261,1.1441078186035156,6.031378174675694e-10,412.9621276855469,101.994384765625,10.099226951599121,17145.599609375,619,0.44407492876052856,0.08806989341974258,0.2967657148838043,628.8101196289062,52,0.06482572108507156,0.21745482087135315,0.00304161524400115,0.0551508404314518,7.649435043334961,50,3086.2023774550057,1877.3508088773144,4742.087687387288,491195.9911398566,700.8537587399076,364171.88053969067,55,2220.0581619487516,1408.0613499019873,2942.106258553395,134912.38528026434,367.3042135345909,261966.86310995268,53,5471.167199086335,3779.0771484375,7385.888671875,930556.2134465501,964.6534162312131,645597.7294921875,301,21.820355786156362,6.344816579807221,45.131637708018545,76.5296751121105,8.748124091032917,18023.613879365155,46,0.21927552304025424,0.0986328125,0.384765625,0.004968748887836574,0.0704893530104836,25.87451171875,-220.06521606445312,55.0851936340332,-14.984587669372559,62.66701126098633,-23.810497283935547,1.4230434894561768,-27.94428253173828,0.0013632571790367365,-21.908748626708984,-6.926746845245361,-13.46955394744873,-3.2187600135803223,-3.428988456726074,-4.138021945953369,-9.478409767150879,-4.845178604125977,-10.52699089050293,0.9572003483772278,-13.683547973632812,5.386051654815674
eNTERFACE05_Dataset\subject_10_m\disgust\sentence,5\s10_di_5,10,m,disgust,1,1096,0.9335291385650635,6.369758054347585e-10,193.06097412109375,36.35274124145508,6.029323577880859,9484.65625,427,0.459708034992218,0.08403410017490387,0.28988635540008545,441.3197021484375,40,0.055842578411102295,0.14447568356990814,0.002141559263691306,0.04627698287367821,4.467406272888184,32,2839.1153839777257,1434.5253359773694,4845.433529040643,1202075.8984698155,1096.3922192672728,227129.23071821805,53,1911.980822989945,1211.2649849291831,2772.7638965306537,125414.78671967381,354.1395017781465,152958.4658391956,46,4845.7781982421875,2293.2861328125,7138.2568359375,1903470.5249335617,1379.6631925704048,387662.255859375,167,19.991986369387973,6.294041726612713,44.503883490265395,80.89585447310071,8.994212276408685,11195.512366857265,31,0.22169189453125,0.08056640625,0.44140625,0.014659803956747056,0.12107767736765954,17.7353515625,-222.29776000976562,81.15771484375,-46.05244827270508,20.999475479125977,-40.83026123046875,11.867805480957031,-25.9182186126709,4.747272491455078,-10.555238723754883,3.0360848903656006,-4.44439697265625,-1.1028649806976318,-4.452197074890137,-5.456236839294434,-14.275224685668945,-2.032165050506592,-2.9145140647888184,0.8417463302612305,-9.11297607421875,4.607602119445801
