,Accuracy
mfcc17,0.4428571428571429
min_spec_cont,0.4404761904761905
mfcc14,0.43809523809523804
min_spec_bw,0.4404761904761904
mfcc4,0.44523809523809527
mfcc2,0.4531746031746032
mfcc15,0.44523809523809527
mfcc19,0.44603174603174606
mfcc10,0.4523809523809524
mfcc11,0.44841269841269843
mfcc9,0.4523809523809524
max_spec_cont,0.4515873015873016
mfcc18,0.45714285714285713
mfcc12,0.4492063492063492
std_spec_cont,0.4523809523809524
spikes_mel_spect,0.4523809523809524
mean_chroma_stft,0.44761904761904764
mfcc16,0.44841269841269843
min_mel_spect,0.44682539682539685
mfcc5,0.44682539682539685
min_spec_cent,0.43888888888888894
mfcc20,0.4412698412698413
min_zcr,0.43809523809523815
mfcc13,0.43571428571428567
mfcc6,0.43015873015873013
std_chroma_stft,0.4253968253968254
mfcc7,0.4222222222222222
mean_spec_cont,0.41269841269841273
mfcc8,0.403968253968254
var_spec_bw,0.384920634920635
var_zcr,0.3563492063492063
var_mel_spect,0.32857142857142857
max_spec_bw,0.3031746031746032
spikes_chroma_stft,0.2571428571428572
mfcc3,0.2087301587301587
