,Accuracy
max_mfcc10,0.6357142857142858
skew_mfcc10,0.6404761904761905
kurtosis_mfcc8,0.6452380952380953
median_mfcc20,0.6452380952380953
max_mfcc19,0.6511904761904762
mean_tonnetz,0.6511904761904762
25thpercentile_rms,0.6511904761904762
25thpercentile_chroma_stft,0.6511904761904762
min_mel_spect,0.6511904761904762
median_mel_spect,0.6511904761904762
25thpercentile_mel_spect,0.6511904761904762
skew_mfcc15,0.6500000000000001
kurtosis_mfcc2,0.6547619047619049
75thpercentile_mfcc12,0.655952380952381
median_mfcc19,0.6571428571428571
kurtosis_mfcc17,0.6571428571428571
kurtosis_mfcc20,0.6654761904761904
var_mfcc14,0.6666666666666666
max_mfcc3,0.669047619047619
skew_mfcc13,0.6714285714285715
kurtosis_mfcc16,0.6714285714285715
min_zcr,0.6702380952380952
median_chroma_stft,0.6690476190476191
kurtosis_mfcc6,0.6726190476190477
skew_mfcc19,0.6726190476190477
min_spec_cont,0.6738095238095239
skew_mfcc18,0.6749999999999999
kurtosis_mfcc18,0.6749999999999999
kurtosis_mfcc7,0.6761904761904762
kurtosis_mfcc13,0.6773809523809524
max_mfcc14,0.6761904761904761
kurtosis_mfcc4,0.6773809523809523
kurtosis_mfcc12,0.6785714285714285
kurtosis_mfcc9,0.6773809523809523
skew_mfcc16,0.6773809523809523
var_mfcc6,0.6797619047619048
kurtosis_mfcc19,0.6785714285714286
skew_mfcc5,0.6809523809523809
kurtosis_mfcc15,0.680952380952381
min_mfcc14,0.680952380952381
max_tonnetz,0.6833333333333333
var_mfcc10,0.680952380952381
var_mfcc15,0.6821428571428572
skew_mfcc17,0.6821428571428572
kurtosis_mfcc5,0.682142857142857
kurtosis_mfcc11,0.6845238095238095
skew_mfcc9,0.6857142857142857
spikes_mfcc4,0.6833333333333332
kurtosis_mfcc3,0.6845238095238094
skew_mfcc20,0.6869047619047619
max_mfcc11,0.6833333333333333
skew_mfcc14,0.6785714285714286
max_mfcc5,0.6773809523809524
max_spec_cont,0.6761904761904761
median_mfcc4,0.6738095238095239
skew_mfcc8,0.6726190476190477
skew_mfcc4,0.6738095238095239
mean_mfcc16,0.6761904761904762
kurtosis_mfcc10,0.6702380952380953
var_mfcc9,0.6726190476190476
var_mfcc5,0.669047619047619
var_mel_spect,0.6666666666666667
var_spec_bw,0.6607142857142857
kurtosis_mfcc14,0.6583333333333333
var_mfcc11,0.6535714285714286
max_mfcc9,0.6511904761904762
mean_mfcc15,0.6547619047619048
skew_mfcc6,0.6476190476190476
75thpercentile_mfcc17,0.6464285714285714
skew_mfcc12,0.6416666666666666
75thpercentile_mfcc19,0.6392857142857142
75thpercentile_tonnetz,0.6345238095238095
max_mfcc7,0.6273809523809524
max_mfcc12,0.6190476190476191
var_mfcc12,0.6154761904761906
max_mfcc8,0.6107142857142858
var_mfcc8,0.605952380952381
var_mfcc7,0.6059523809523809
max_mfcc6,0.6119047619047621
75thpercentile_spec_cent,0.6083333333333334
skew_mfcc11,0.6083333333333333
skew_mfcc3,0.6047619047619047
var_mfcc2,0.601190476190476
skew_mfcc7,0.5940476190476192
median_zcr,0.5833333333333334
var_mfcc3,0.5654761904761905
var_mfcc13,0.5392857142857143
max_mfcc13,0.5380952380952381
var_spec_cont,0.5154761904761905
median_mfcc18,0.48571428571428565
var_mfcc4,0.44523809523809527
var_mfcc1,0.37142857142857144
