,Accuracy
skew_mfcc8,0.6630952380952381
max_mfcc10,0.6666666666666666
kurtosis_mfcc11,0.669047619047619
75thpercentile_mfcc17,0.6726190476190477
kurtosis_mfcc14,0.6785714285714286
skew_mfcc4,0.6869047619047618
kurtosis_mfcc17,0.6880952380952381
kurtosis_mfcc13,0.6916666666666667
mean_tonnetz,0.6928571428571428
75thpercentile_mel_spect,0.6928571428571428
median_mel_spect,0.6928571428571428
kurtosis_mfcc18,0.6916666666666667
var_mfcc9,0.6952380952380952
skew_mfcc12,0.6964285714285714
skew_mfcc5,0.6976190476190476
median_mfcc18,0.7035714285714285
std_chroma_stft,0.7035714285714285
kurtosis_mfcc20,0.7011904761904761
min_zcr,0.7011904761904761
max_mfcc8,0.7
75thpercentile_mfcc19,0.6988095238095238
skew_mfcc19,0.6976190476190476
skew_mfcc6,0.6976190476190476
kurtosis_mfcc10,0.6988095238095238
kurtosis_mfcc19,0.7023809523809523
max_spec_cont,0.7071428571428571
var_mfcc7,0.7071428571428571
kurtosis_mfcc7,0.7071428571428571
skew_mfcc15,0.7071428571428571
median_mfcc19,0.7095238095238094
min_spec_cont,0.7107142857142857
max_mfcc5,0.7130952380952381
skew_mfcc18,0.7142857142857144
kurtosis_mfcc16,0.7166666666666666
kurtosis_mfcc15,0.7154761904761905
kurtosis_mfcc8,0.7166666666666668
median_mfcc17,0.7154761904761905
skew_mfcc17,0.7142857142857142
skew_mfcc14,0.7166666666666666
75thpercentile_mfcc9,0.7190476190476189
skew_mfcc10,0.7166666666666668
75thpercentile_tonnetz,0.7166666666666666
median_mfcc16,0.7178571428571429
median_spec_cent,0.7166666666666667
var_mfcc5,0.7178571428571429
median_mfcc14,0.7178571428571429
median_mfcc15,0.7178571428571429
max_mfcc13,0.7190476190476189
var_mfcc13,0.7190476190476192
max_mfcc11,0.7178571428571429
kurtosis_mfcc6,0.7154761904761905
skew_mfcc16,0.7166666666666666
var_mfcc11,0.7107142857142857
75thpercentile_mfcc20,0.7130952380952381
75thpercentile_mfcc11,0.7154761904761904
var_spec_cont,0.719047619047619
kurtosis_mfcc5,0.7178571428571429
var_mfcc8,0.7190476190476189
75thpercentile_mfcc7,0.7166666666666666
max_mfcc12,0.7154761904761906
kurtosis_mfcc12,0.7142857142857144
skew_mfcc3,0.7130952380952381
skew_mfcc11,0.7071428571428571
var_mfcc12,0.7071428571428571
75thpercentile_spec_bw,0.7059523809523809
max_mfcc9,0.7023809523809523
kurtosis_mfcc9,0.6976190476190476
skew_mfcc9,0.7011904761904761
max_tonnetz,0.7011904761904761
max_mfcc6,0.6964285714285714
var_mfcc10,0.6904761904761905
skew_mfcc13,0.6857142857142857
75thpercentile_mfcc13,0.6857142857142857
75thpercentile_mfcc18,0.6845238095238095
median_mfcc20,0.6797619047619048
std_mfcc6,0.6726190476190477
skew_mfcc20,0.669047619047619
max_mfcc14,0.6642857142857143
median_mfcc4,0.6619047619047619
median_mfcc5,0.6535714285714286
mean_spec_cont,0.6523809523809524
kurtosis_mfcc3,0.6488095238095238
spikes_zcr,0.6392857142857143
kurtosis_mfcc2,0.6273809523809525
max_mfcc7,0.6107142857142855
var_mel_spect,0.594047619047619
75thpercentile_spec_rolloff,0.5714285714285714
skew_mfcc7,0.555952380952381
var_spec_bw,0.5464285714285715
var_mfcc3,0.5238095238095238
kurtosis_mfcc4,0.4976190476190476
75thpercentile_mfcc4,0.47619047619047616
std_mfcc1,0.44761904761904764
kurtosis_mfcc1,0.4321428571428571
max_mfcc4,0.37976190476190474
75thpercentile_mfcc2,0.3357142857142857
