File,Gender,Original_Duration,Duration,Emotion,Emotion_Id,min_zcr,spikes_zcr,var_mel_spect,spikes_mel_spect,thpercentile25_chroma_stft,spikes_chroma_stft,mean_spec_bw,max_spec_bw,thpercentile25_rms,var_mfcc1,var_mfcc3,max_mfcc5,var_mfcc5,median_mfcc5,spikes_mfcc6,thpercentile75_mfcc7,max_mfcc7,var_mfcc8,sum_mfcc10,max_mfcc10,thpercentile75_mfcc11,max_mfcc11,sum_mfcc12,kurtosis_mfcc12,mean_mfcc13,mean_mfcc15,spikes_mfcc16,kurtosis_mfcc17,mean_mfcc17,kurtosis_mfcc18,spikes_mfcc19,mean_mfcc19,mean_mfcc20
s10_an_1,m,3.0,3.0,anger,0,0.0498046875,21,86.84420776367188,943,0.007366036449093371,362,1583.6105589516956,2529.0890871014894,0.004098633146495559,6183.20849609375,1188.3758544921875,14.79458999633789,564.2274780273438,-33.80588912963867,47,-59.02020192146301,30.725482940673828,598.5391235351562,-838.06396484375,22.797809600830078,-26.938960599899293,28.262775421142578,144.42202758789062,0.21795696852444113,-15.781970024108887,-15.467411994934082,31,-0.5726071999074147,-13.73846435546875,-0.19842456512361561,47,-6.808115005493164,-6.0569915771484375
s10_an_2,m,2.44,2.44,anger,0,0.0576171875,22,38.9215202331543,1044,0.010645102825947106,312,1464.9978427157298,2460.2377451858088,0.0028680875059217213,6344.3359375,1220.17919921875,11.818075180053711,367.3076477050781,-35.454017639160156,36,-53.55121315002442,-19.389604568481445,227.7611083984375,-961.8316040039062,14.204610824584961,-20.231968879699707,31.71122932434082,-327.1282653808594,-0.5451470884017597,-12.19892406463623,-12.188963890075684,35,-0.31539476126877375,-16.047136306762695,-0.847294930012445,35,-13.910441398620605,-5.800464153289795
s10_an_3,m,2.24,2.24,anger,0,0.0537109375,30,48.923099517822266,956,0.00888224085327238,272,1431.2572093625781,2276.0462056116844,0.003239079471677542,6538.3125,802.0432739257812,4.665190696716309,598.0916137695312,-44.13520812988281,38,-67.48626174926758,5.434121131896973,185.8756866455078,-955.07568359375,5.83868408203125,-28.513680267333985,23.466585159301758,-262.03936767578125,-0.19798628062471213,-14.718344688415527,-14.406396865844727,35,-0.5565692649282812,-15.5267972946167,0.5692912803530219,31,-17.323556900024414,-2.885498285293579
s10_an_4,m,2.76,2.76,anger,0,0.05859375,23,67.02666473388672,992,0.004613997915294022,306,1394.2349609337775,2267.8163200607023,0.004307538263965398,3645.98486328125,2016.7535400390625,-4.900969982147217,276.42047119140625,-43.377845764160156,28,-60.3013738155365,8.594865798950195,164.8822784423828,-697.8594970703125,10.904570579528809,-24.302144169807434,16.401023864746094,-521.0323486328125,-0.649275732697463,-20.706401824951172,-21.305631637573242,40,0.04608691980897284,-18.703388214111328,-0.31328944473985976,35,-11.763545989990234,-10.508488655090332
s10_an_5,m,2.48,2.48,anger,0,0.05712890625,15,81.64635467529297,771,0.004679019056493416,274,1422.7085635504966,2368.828453811829,0.003072050243499689,4805.11376953125,1291.8223876953125,20.989187240600586,431.8454895019531,-30.936187744140625,28,-52.476538305282595,18.081693649291992,263.0567321777344,-520.5128173828125,12.510730743408203,-27.502707891464233,33.53434753417969,-526.5830078125,-0.31234314124806684,-16.0832462310791,-13.634029388427734,27,-0.5224991383772424,-12.233949661254883,0.5785746705289028,37,-14.473772048950195,-6.119234561920166
s10_ha_1,m,2.12,2.12,happiness,1,0.0625,15,127.87810516357422,713,0.003467755321180448,267,1469.5835189587701,2394.192781257261,0.006275589170400053,4221.427734375,1515.610107421875,1.321227788925171,224.7459716796875,-25.107955932617188,24,-60.228515625,1.0216208696365356,312.5278015136719,-227.33914184570312,28.197656631469727,-36.790019512176514,13.245655059814453,-2.4157347679138184,-0.8585769479614394,-11.443177223205566,-14.260076522827148,24,0.1445066902839658,-18.3127384185791,-0.5136138206145655,26,-13.692331314086914,-7.946672439575195
s10_ha_2,m,2.24,2.24,happiness,1,0.05419921875,20,112.42273712158203,820,0.0017330172643414698,289,1582.0952917072873,2564.249600605843,0.009239161985460669,3607.445556640625,3057.379150390625,3.440720558166504,509.4942932128906,-32.08143615722656,32,-54.77577611923218,10.405570983886719,240.3064727783203,-893.605224609375,9.240864753723145,-28.71551453590393,5.028839111328125,-256.51373291015625,-0.20814250173484306,-21.789262771606445,-10.205243110656738,29,0.2260891100965079,-17.8988094329834,-0.5733176612223754,35,-14.431119918823242,-13.720107078552246
s10_ha_3,m,2.52,2.52,happiness,1,0.02783203125,24,121.6988296508789,760,0.002972534317523241,247,1456.1509051694234,2607.270480752919,0.0050337105756625535,6376.16748046875,6550.4345703125,21.585914611816406,1102.426513671875,-22.374252319335938,26,-51.19076280593872,35.432708740234375,454.3782043457031,-747.1688232421875,21.083324432373047,-30.470993971824647,16.34221076965332,-117.10061645507812,-0.6828583851164378,-14.546022415161133,-11.63890552520752,30,-0.19485472940754445,-8.525733947753906,0.5538788392370111,23,-9.275547981262207,-6.942863941192627
s10_ha_4,m,1.72,1.72,happiness,1,0.0595703125,8,113.84605407714844,517,0.004063327567419037,163,1569.1420246280086,2394.872662457845,0.00404889119672589,7679.05810546875,2304.7275390625,3.6201682090759277,438.33941650390625,-44.67876052856445,16,-45.51416697502136,11.903166770935059,283.44830322265625,-291.0186767578125,6.722700595855713,-50.331375646591184,1.2355825901031494,-422.3243713378906,-0.32154874477086093,-19.718252182006836,-7.382937908172607,15,-1.5119938741466252,-13.371847152709961,0.5572830410199212,14,-17.26757049560547,-13.216448783874512
s10_ha_5,m,1.6,1.6,happiness,1,0.01806640625,19,66.72396850585938,674,0.008421814504545181,228,1556.2770514027168,2430.296167918297,0.003713286854326725,16832.078125,2804.33056640625,25.54730987548828,619.8431396484375,-25.548721313476562,26,-43.73482849121094,10.149385452270508,354.83111572265625,-497.6221618652344,18.013259887695312,-46.019973297119144,-3.6002302169799805,-262.70062255859375,-0.517278034797656,-16.52862548828125,-9.38365364074707,19,-1.1831034937608627,-10.634791374206543,1.3763822969348807,26,-6.262275695800781,-10.291704177856445
