,Mean Acc,Std Acc
var_mfcc6,0.4174603174603175,0.003888078956798695
var_spec_bw,0.4238095238095238,0.007694729932406878
mean_mfcc19,0.4174603174603175,0.00526448379421492
min_mfcc7,0.41825396825396827,0.0053828015739089356
max_mfcc11,0.41666666666666663,0.005019488349473626
min_mfcc14,0.4214285714285714,0.00847387162859628
min_spec_cont,0.4119047619047619,0.0029695693545825005
var_mfcc12,0.42142857142857143,0.006827242275430664
var_mfcc13,0.42142857142857143,0.00526448379421492
mean_mfcc16,0.4142857142857143,0.004046840883803807
min_mfcc5,0.423015873015873,0.008908708063747477
var_mfcc10,0.4214285714285714,0.010765603147817902
sum_mfcc18,0.42142857142857143,0.008473871628596278
max_spec_cont,0.42301587301587296,0.007776157913597397
var_mel_spect,0.4317460317460317,0.006827242275430655
mean_mfcc15,0.4317460317460318,0.006349206349206352
min_mfcc20,0.43888888888888894,0.011931187601883267
min_mfcc10,0.43650793650793657,0.012036310228653252
max_mfcc14,0.4349206349206349,0.006918887211969325
min_mel_spect,0.4420634920634921,0.010528967588429843
max_mfcc7,0.4428571428571429,0.004761904761904771
max_mfcc8,0.4317460317460318,0.009848947338087988
max_mfcc12,0.4309523809523809,0.006447649527488856
var_mfcc8,0.43650793650793657,0.005611958580845611
var_mfcc11,0.41349206349206347,0.00769472993240687
min_mfcc12,0.4246031746031746,0.007098628499999326
var_spec_cont,0.43730158730158736,0.013608276348795441
std_chroma_stft,0.4246031746031746,0.003549314249999654
sum_mfcc20,0.43650793650793657,0.010347940325718475
max_mfcc3,0.42777777777777776,0.008473871628596271
mean_spec_cont,0.4317460317460318,0.005832118435198049
min_spec_cent,0.42936507936507934,0.006349206349206352
var_mfcc14,0.42936507936507934,0.002969569354582506
var_mfcc2,0.40714285714285714,0.006447649527488868
var_mfcc15,0.4103174603174603,0.015592764051101994
max_mfcc9,0.4015873015873016,0.009187172145071601
max_mfcc6,0.4023809523809524,0.015389459864813741
max_mfcc13,0.40793650793650793,0.0080936817676076
max_mfcc5,0.41349206349206347,0.008473871628596271
var_mfcc1,0.4031746031746032,0.008547880646245254
max_mfcc10,0.4007936507936508,0.015471102134617403
var_mfcc3,0.40476190476190477,0.017205939197364125
var_mfcc9,0.3841269841269841,0.014063527894182014
min_zcr,0.36269841269841274,0.012698412698412693
var_mfcc4,0.353968253968254,0.019983616368276464
spikes_spec_cent,0.3007936507936508,0.009187172145071596
min_mfcc17,0.276984126984127,0.011054276410463587
min_mfcc19,0.2571428571428571,0.02264340098045574
max_mfcc1,0.2087301587301587,0.016947743257192557
