,Accuracy
max_mfcc12,0.4246031746031746
max_mfcc1,0.4222222222222222
min_spec_cont,0.4341269841269841
var_mfcc8,0.4396825396825396
var_mfcc9,0.43730158730158736
max_mfcc14,0.44523809523809527
max_mfcc11,0.43730158730158736
min_spec_cent,0.43888888888888894
mean_mfcc16,0.42936507936507934
max_mfcc9,0.43888888888888894
mean_mfcc19,0.4357142857142858
min_mfcc5,0.4428571428571429
var_mfcc10,0.43571428571428567
min_mfcc10,0.43888888888888894
min_mfcc14,0.43888888888888894
var_mfcc6,0.4412698412698413
max_spec_cont,0.434920634920635
var_mfcc13,0.4341269841269842
var_mfcc15,0.43968253968253973
var_mfcc11,0.43650793650793657
var_spec_cont,0.43888888888888883
max_mfcc3,0.4325396825396825
max_mfcc7,0.43888888888888894
sum_mfcc18,0.43650793650793657
var_mfcc12,0.4396825396825396
min_mel_spect,0.43809523809523815
min_mfcc20,0.44603174603174606
mean_spec_cont,0.4420634920634921
sum_mfcc20,0.4404761904761905
min_mfcc12,0.43888888888888894
max_mfcc8,0.4317460317460317
min_zcr,0.4349206349206349
mean_mfcc15,0.4325396825396825
var_mfcc14,0.4261904761904762
var_mfcc4,0.4261904761904761
max_mfcc5,0.41349206349206347
max_mfcc10,0.41269841269841273
var_mfcc1,0.40793650793650793
var_mfcc2,0.4095238095238095
max_mfcc6,0.4007936507936508
min_mfcc17,0.3920634920634921
min_mfcc19,0.38492063492063494
max_mfcc13,0.376984126984127
min_mfcc7,0.3658730158730159
var_mfcc3,0.36507936507936506
std_chroma_stft,0.32222222222222224
var_spec_bw,0.2873015873015873
spikes_spec_cent,0.2492063492063492
var_mel_spect,0.2087301587301587
