,Accuracy
kurtosis_mfcc14,0.5881397518013758
var_mfcc6,0.588323687335728
max_mfcc12,0.5883218904521776
sum_mfcc4,0.5890434208742328
max_mfcc6,0.586875399194016
kurtosis_mfcc19,0.5863293099477106
75thpercentile_mfcc18,0.587957939856674
skew_mfcc5,0.5881390983891756
spikes_mfcc13,0.5884992918645281
mean_mfcc7,0.5877810285034737
spikes_mfcc2,0.5886824106336302
kurtosis_mfcc7,0.5903098970712432
median_tonnetz,0.5874177313201704
spikes_tonnetz,0.5897656047084883
spikes_spec_cont,0.5912117692605497
skew_mfcc9,0.5874175679671203
median_mfcc18,0.5908522291973975
kurtosis_mfcc1,0.5888619356356313
75thpercentile_mfcc12,0.5913919476747511
sum_tonnetz,0.5874160977896699
min_mfcc4,0.5906710706648959
sum_mfcc8,0.5901293919509418
spikes_spec_rolloff,0.5883181333320265
kurtosis_mfcc8,0.5872329790205678
kurtosis_mfcc11,0.5919329729765048
var_mfcc10,0.5885002719828283
75thpercentile_mfcc16,0.5888635691661317
75thpercentile_mfcc19,0.5892250694658846
spikes_mfcc8,0.5886822472805802
75thpercentile_tonnetz,0.5919370568027562
spikes_mfcc18,0.5883227072174277
spikes_mfcc15,0.589764297884088
max_mfcc9,0.5906689470752453
mean_mfcc14,0.5877766179711225
max_mfcc13,0.588137464858675
var_zcr,0.5866917903657638
median_mfcc16,0.5857902448825574
kurtosis_mfcc20,0.5883209103338773
spikes_mfcc17,0.5870541074307669
sum_mfcc5,0.5899467632409898
skew_mfcc3,0.586509488361912
skew_mfcc4,0.5912125860258001
max_mfcc8,0.5885019055133288
skew_mfcc12,0.5901279217734914
kurtosis_mfcc13,0.5872364094346187
spikes_mfcc20,0.5892252328189347
25thpercentile_spec_cont,0.592112824684606
spikes_mfcc14,0.5885002719828283
75thpercentile_mfcc20,0.5922965968659083
max_spec_cont,0.5879589199749743
75thpercentile_mel_spect,0.5906686203691451
kurtosis_mfcc10,0.5888630791069815
kurtosis_mfcc2,0.5935650332995193
75thpercentile_spec_rolloff,0.5899475800062401
kurtosis_mfcc9,0.5875972563221714
max_mfcc4,0.5915768633274036
mean_mfcc9,0.5910325709646488
skew_mfcc10,0.5843393430920445
spikes_mfcc11,0.5850667542239015
kurtosis_mfcc15,0.5848826553364991
sum_mfcc20,0.5879564696792237
75thpercentile_mfcc17,0.5854267843462039
kurtosis_mfcc16,0.587233632432768
max_mfcc14,0.5843421200938953
median_mfcc4,0.5912109524952995
sum_mfcc10,0.5845242587446972
var_mfcc5,0.583075317190785
spikes_mfcc16,0.58000019602366
75thpercentile_mfcc11,0.579820671021659
min_zcr,0.5751218205370722
75thpercentile_mfcc7,0.5827185541294834
spikes_mel_spect,0.5801839682049623
kurtosis_mfcc17,0.5836183027291394
spikes_mfcc6,0.5839807831471926
spikes_chroma_stft,0.5776546095780428
var_mfcc1,0.578013822935095
25thpercentile_chroma_stft,0.5796434329623585
mean_mfcc17,0.5742196216416654
kurtosis_mfcc12,0.5781959615858968
spikes_mfcc19,0.5700609796935823
max_mfcc10,0.5758459646079281
kurtosis_mfcc18,0.5765709254440343
var_mfcc8,0.5734953142177595
25thpercentile_rms,0.5706051087032872
mean_mfcc15,0.5718675010740462
max_mfcc11,0.572952328679405
mean_spec_bw,0.5619219139750168
max_mfcc5,0.5566789344807251
spikes_zcr,0.5615591068508635
median_mfcc5,0.5507145879174283
max_mfcc7,0.5413113329445531
max_spec_bw,0.5339013118883449
mean_mfcc19,0.5163640551414556
mean_mfcc20,0.499908848998074
var_mfcc3,0.4751407694908775
mean_mfcc13,0.4254205115890821
sum_mfcc12,0.36611486006360966
