File,Interaction,Gender,Duration,Emotion,Emotion_Id,Valence,Activation,Dominance
Ses01F_impro01_F000-3,improvised,Female,1.9455999999999998,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro01_F001-3,improvised,Female,1.3825000000000003,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro01_F002-3,improvised,Female,3.1302999999999983,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro01_F005-3,improvised,Female,4.029999999999998,neutral,3,2.5000,3.5000,2.0000
Ses01F_impro01_F012-0,improvised,Female,2.75,angry,0,2.0000,3.5000,3.5000
Ses01F_impro01_F014-3,improvised,Female,5.069999999999993,neutral,3,2.5000,3.5000,3.5000
Ses01F_impro01_M011-0,improvised,Male,7.239999999999995,angry,0,2.0000,4.0000,4.0000
Ses01F_impro01_M013-0,improvised,Male,6.030000000000001,angry,0,2.0000,4.5000,4.5000
Ses01F_impro02_F000-2,improvised,Female,9.331200000000003,sad,2,2.5000,2.0000,1.5000
Ses01F_impro02_F001-2,improvised,Female,2.9299999999999997,sad,2,2.0000,1.5000,1.5000
Ses01F_impro02_F002-2,improvised,Female,5.723599999999998,sad,2,2.0000,1.5000,1.5000
Ses01F_impro02_F003-3,improvised,Female,5.652500000000003,neutral,3,2.0000,2.0000,2.0000
Ses01F_impro02_F004-2,improvised,Female,5.769999999999996,sad,2,2.5000,2.0000,2.5000
Ses01F_impro02_F005-2,improvised,Female,2.5600000000000023,sad,2,2.0000,2.0000,2.5000
Ses01F_impro02_F006-3,improvised,Female,4.215000000000003,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro02_F008-2,improvised,Female,3.886899999999997,sad,2,1.5000,2.0000,1.5000
Ses01F_impro02_F010-2,improvised,Female,4.25,sad,2,2.0000,1.5000,2.0000
Ses01F_impro02_F012-2,improvised,Female,3.0305000000000035,sad,2,3.5000,2.0000,1.5000
Ses01F_impro02_F013-2,improvised,Female,6.125500000000017,sad,2,1.5000,2.0000,2.0000
Ses01F_impro02_F014-2,improvised,Female,7.400000000000006,sad,2,1.5000,2.0000,2.0000
Ses01F_impro02_F015-2,improvised,Female,3.5878999999999905,sad,2,2.0000,2.5000,2.5000
Ses01F_impro02_F016-3,improvised,Female,2.1899999999999977,neutral,3,2.0000,1.0000,2.5000
Ses01F_impro02_F017-2,improvised,Female,6.654999999999973,sad,2,3.5000,3.0000,2.5000
Ses01F_impro02_F018-3,improvised,Female,3.049999999999983,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro02_F019-2,improvised,Female,3.0593999999999824,sad,2,2.5000,1.5000,2.0000
Ses01F_impro02_F020-2,improvised,Female,4.530000000000001,sad,2,4.0000,2.0000,2.5000
Ses01F_impro02_M001-2,improvised,Male,5.7958,sad,2,2.0000,2.5000,2.5000
Ses01F_impro02_M005-2,improvised,Male,4.950000000000003,sad,2,2.0000,3.0000,1.5000
Ses01F_impro02_M009-2,improvised,Male,3.6724999999999994,sad,2,2.0000,1.5000,2.5000
Ses01F_impro02_M010-2,improvised,Male,4.2194999999999965,sad,2,2.0000,2.0000,1.5000
Ses01F_impro02_M011-2,improvised,Male,3.219999999999999,sad,2,2.5000,1.5000,2.5000
Ses01F_impro02_M012-3,improvised,Male,4.68010000000001,neutral,3,2.5000,2.0000,2.0000
Ses01F_impro02_M013-2,improvised,Male,4.730000000000018,sad,2,1.5000,2.0000,2.0000
Ses01F_impro02_M014-2,improvised,Male,4.615000000000009,sad,2,1.5000,3.0000,1.5000
Ses01F_impro02_M015-3,improvised,Male,1.25,neutral,3,3.0000,3.0000,1.5000
Ses01F_impro03_F000-1,improvised,Female,2.8600000000000003,happy,1,4.3333,2.6667,2.6667
Ses01F_impro03_F001-1,improvised,Female,3.4399999999999995,happy,1,4.0000,2.6667,2.6667
